[重量]
501,0.8300,土壁
502,0.6400,モルタル
525,0.1000,合板
500,0.1000,合板W
503,0.1000,せっこうボード
504,0.2000,サイディング
505,0.1000,ラスボード
5000,0.1000,構造用合板(真壁-受材) 
5001,0.1000,構造用合板(真壁-貫)
5002,0.1000,構造用パネル(大壁)      
5003,0.1000,構造用パネル(真壁-受材)     
5004,0.1000,構造用パネル(真壁-貫) 
5005,0.1000,ﾊﾟｰﾃｨｸﾙﾎﾞｰﾄﾞ(真壁-受材) 
5006,0.1000,ﾊﾟｰﾃｨｸﾙﾎﾞｰﾄﾞ(真壁-貫)    
5012,0.2000,硬質木片セメント板
5015,0.1000,ｼｰｼﾞﾝｸﾞｲﾝｼｭﾚｰｼｮﾝﾎﾞｰﾄﾞ 
5017,0.1000,木ずり  
5018,5.8700,土塗壁(両面塗り厚70mm以上)
6200,0.1000,構造用ハイベストウッド 大壁 告示仕様2.5倍
6201,0.1000,構造用ハイベストウッド 真壁 告示仕様2.5倍
6202,0.1000,構造用ハイベストウッド 大壁 告示仕様4.3倍
6203,0.1000,構造用ハイベストウッド 真壁 告示仕様4.0倍
6204,0.1000,構造用ハイベストウッド 大壁 認定仕様2.5倍
6205,0.1000,構造用ハイベストウッド 大壁 認定仕様4.0倍
6206,0.1000,構造用ハイベストウッド 真壁 認定仕様2.5倍
6207,0.1000,構造用ハイベストウッド 真壁床勝 認定仕様2.5倍
6208,0.1000,構造用ハイベストウッド（7㎜厚）大壁 認定仕様2.7倍
6209,12.7000,構造用ハイベストウッド（7㎜厚）真壁床勝 認定仕様2.5倍
[壁倍率]
501,0.5,土壁
525,2.5,合板
500,5.0,合板W
601,1.5,筋かい30×90
602,2.0,筋かい45×90
5000,2.5,構造用合板(真壁-受材) 
5001,1.5,構造用合板(真壁-貫)
5002,2.5,構造用パネル(大壁)      
5003,2.5,構造用パネル(真壁-受材)     
5004,1.5,構造用パネル(真壁-貫) 
5005,2.5,ﾊﾟｰﾃｨｸﾙﾎﾞｰﾄﾞ(真壁-受材) 
5006,1.5,ﾊﾟｰﾃｨｸﾙﾎﾞｰﾄﾞ(真壁-貫)    
5017,0.5,木ずり  
5018,0.5,土塗壁(両面塗り厚70mm以上)
5019,1.0,筋かい鉄筋9Φ
603,1.0,筋かい15×90
604,3.0,筋かい90×90
602,2.0,筋かい45×90
525,2.5,合板
522,2.2,2.2倍耐力壁
540,4.0,合板4倍
4007,3.0,ガーディアン・フォース／ハイブリッド
4009,2.6,WUTEC
4010,4.4,オメガシステム600
4011,3.5,オメガシステム900
4012,1.7,GO-TA
6200,2.5,構造用ハイベストウッド 大壁 告示仕様2.5倍
6201,2.5,構造用ハイベストウッド 真壁 告示仕様2.5倍
6202,4.3,構造用ハイベストウッド 大壁 告示仕様4.3倍
6203,4.0,構造用ハイベストウッド 真壁 告示仕様4.0倍
6204,2.5,構造用ハイベストウッド 大壁 認定仕様2.5倍
